t,ax,ay,az 
1.5608323090882E13,-0.66542053,1.6107941,11.503403
1.5608328126282E13,-0.77334595,1.5772095,10.994568
1.5608333161683E13,-0.86795044,1.4924164,10.673126
1.5608338197083E13,-0.99043274,1.5415039,10.514465
1.5608343232484E13,-1.0358734,1.5626831,10.420898
1.5608348267884E13,-1.0750732,1.4807587,10.432831
1.5608353303284E13,-1.0995941,1.4217987,10.430298
1.5608358338685E13,-1.1625977,1.379837,10.504059
1.5608363374085E13,-1.1160278,1.4030914,10.403427
1.5608368409486E13,-1.0691986,1.4553375,10.118042
1.5608373444886E13,-1.0353699,1.5851593,9.699905
1.5608378480286E13,-0.9729614,1.6414337,9.261093
1.5608383515687E13,-0.88308716,1.7579346,8.790726
1.5608388551087E13,-0.8848114,1.7993774,8.388992
1.5608393586488E13,-0.804657,1.8151093,8.114258
1.5608398621888E13,-0.76516724,1.7969513,7.938553
1.5608403657288E13,-0.78479004,1.779953,7.9787903
1.5608408692689E13,-0.8164673,1.7645264,8.040237
1.5608413728089E13,-0.90008545,1.7104034,8.157349
1.560841876349E13,-0.97969055,1.6741028,8.16333
1.560842379889E13,-0.98698425,1.6499939,8.158615
1.560842883429E13,-0.9924164,1.6210022,8.100128
1.5608433869691E13,-1.0332336,1.6349945,8.098923
1.5608438905091E13,-1.0671234,1.6017609,8.185333
1.5608443940491E13,-1.055954,1.5910797,8.315613
1.5608448975892E13,-0.99134827,1.5560608,8.487457
1.5608454011292E13,-0.8774414,1.5675354,8.652054
1.5608459046693E13,-0.76220703,1.5740051,8.911758
1.5608464082093E13,-0.66682434,1.5566559,9.250244
1.5608469117493E13,-0.5570221,1.5575562,9.675125
1.5608474152894E13,-0.46829224,1.5672455,10.14859
1.5608479188294E13,-0.4411316,1.5586548,10.581146
1.5608484223695E13,-0.43629456,1.53685,10.925171
1.5608489259095E13,-0.46472168,1.4998169,11.258759
1.5608494294495E13,-0.53215027,1.4520874,11.626846
1.5608499329896E13,-0.5709076,1.4218445,11.930725
1.5608504365296E13,-0.6274872,1.4052277,12.098328
1.5608509400697E13,-0.726532,1.3797302,12.155487
1.5608514436097E13,-0.8777313,1.3576202,12.056641
1.5608519471497E13,-1.015091,1.3364258,11.770386
1.5608524506898E13,-1.1061096,1.27948,11.439346
1.5608529542298E13,-1.1419067,1.2461395,11.08168
1.5608534577699E13,-1.1672821,1.2619476,10.707825
1.5608539613099E13,-1.1877441,1.2804718,10.234314
1.5608544648499E13,-1.1747894,1.3248901,9.823257
1.56085496839E13,-1.2744141,1.349823,9.507843
1.56085547193E13,-1.3093567,1.4121857,9.315613
1.56085597547E13,-1.2647705,1.4746552,9.163254
1.5608564790101E13,-1.1816406,1.5269012,8.955383
1.5608569825501E13,-1.0756836,1.5978088,8.838974
