t,mx,my,mz,mxb,myb,mzb 
1.5399787005857E13,13.407898,11.256409,447.79816,1.0238647,68.74237,496.78802
1.5399807147458E13,13.1362915,11.062622,448.06366,1.0238647,68.74237,496.78802
1.539982728906E13,14.126587,10.070801,446.5393,1.0238647,68.74237,496.78802
1.5399847430661E13,14.48822,10.84137,447.17102,1.0238647,68.74237,496.78802
1.5399867572263E13,14.520264,11.062622,447.38617,1.0238647,68.74237,496.78802
1.5399887713865E13,13.772583,10.913086,448.11707,1.0238647,68.74237,496.78802
1.5399907855466E13,14.100647,10.739136,449.5453,1.0238647,68.74237,496.78802
1.5399927997068E13,14.173889,10.716248,449.75586,1.0238647,68.74237,496.78802
1.5399948138669E13,12.919617,10.089111,448.83575,1.0238647,68.74237,496.78802
1.5399968280271E13,14.352417,9.712219,447.8241,1.0238647,68.74237,496.78802
1.5399988421872E13,14.520264,9.680176,447.7249,1.0238647,68.74237,496.78802
1.5400008563474E13,14.190674,10.662842,449.01123,1.0238647,68.74237,496.78802
1.5400028705076E13,14.335632,9.898376,448.91968,1.0238647,68.74237,496.78802
1.5400048846677E13,14.346313,9.8526,448.909,1.0238647,68.74237,496.78802
1.5400068988279E13,13.316345,10.195923,448.5733,1.0238647,68.74237,496.78802
1.540008912988E13,11.940002,9.512329,449.24164,1.0238647,68.74237,496.78802
1.5400109271482E13,11.985779,9.484863,449.23706,1.0238647,68.74237,496.78802
1.5400129413083E13,14.48822,8.634949,448.8205,1.0238647,68.74237,496.78802
1.5400149554685E13,13.65509,8.470154,450.94147,1.0238647,68.74237,496.78802
1.5400169696286E13,13.586426,8.424377,450.9201,1.0238647,68.74237,496.78802
1.5400189837888E13,12.727356,7.6950073,450.57678,1.0238647,68.74237,496.78802
1.540020997949E13,14.001465,6.741333,450.26398,1.0238647,68.74237,496.78802
1.5400230121091E13,14.001465,6.741333,450.34027,1.0238647,68.74237,496.78802
1.5400250262693E13,13.578796,6.741333,450.85907,1.0238647,68.74237,496.78802
1.5400270404294E13,10.543823,6.741333,450.26398,1.0238647,68.74237,496.78802
1.5400290545896E13,10.731506,6.929016,450.34332,1.0238647,68.74237,496.78802
1.5400310687497E13,12.12616,7.9223633,450.914,1.0238647,68.74237,496.78802
1.5400330829099E13,14.001465,7.7789307,451.61896,1.0238647,68.74237,496.78802
1.5400350970701E13,13.348389,7.8811646,451.85547,1.0238647,68.74237,496.78802
1.5400371112302E13,11.25946,8.18634,452.69928,1.0238647,68.74237,496.78802
1.5400391253904E13,13.310242,7.7789307,452.29645,1.0238647,68.74237,496.78802
1.5400411395505E13,12.767029,7.5698853,452.17438,1.0238647,68.74237,496.78802
1.5400431537107E13,11.845398,6.9137573,451.95923,1.0238647,68.74237,496.78802
1.5400451678708E13,14.173889,6.9137573,452.46582,1.0238647,68.74237,496.78802
1.540047182031E13,12.988281,6.715393,452.56348,1.0238647,68.74237,496.78802
1.5400491961911E13,10.583496,5.9677124,452.9541,1.0238647,68.74237,496.78802
1.5400512103513E13,11.92627,5.3588867,453.31268,1.0238647,68.74237,496.78802
1.5400532245115E13,11.526489,5.6427,452.92358,1.0238647,68.74237,496.78802
1.5400552386716E13,11.416626,6.1050415,452.35748,1.0238647,68.74237,496.78802
1.5400572528318E13,12.791443,5.8776855,452.80457,1.0238647,68.74237,496.78802
1.5400592669919E13,12.339783,5.683899,452.86865,1.0238647,68.74237,496.78802
1.5400612811521E13,11.514282,5.029297,453.68347,1.0238647,68.74237,496.78802
1.5400632953122E13,11.407471,4.4937134,454.83704,1.0238647,68.74237,496.78802
1.5400653094724E13,11.047363,4.853821,454.34418,1.0238647,68.74237,496.78802
1.5400673236326E13,11.199951,5.430603,453.58124,1.0238647,68.74237,496.78802
1.5400693377927E13,12.10022,5.531311,453.48206,1.0238647,68.74237,496.78802
1.5400713519529E13,11.303711,5.053711,453.9505,1.0238647,68.74237,496.78802
1.540073366113E13,11.256409,4.2510986,454.26178,1.0238647,68.74237,496.78802
1.5400753802732E13,12.272644,3.9749146,453.99017,1.0238647,68.74237,496.78802
1.5400773944333E13,11.660767,4.411316,453.56293,1.0238647,68.74237,496.78802
1.5400794085935E13,11.149597,5.279541,452.88544,1.0238647,68.74237,496.78802
1.5400814227536E13,11.235046,5.7037354,452.6352,1.0238647,68.74237,496.78802
1.5400834369138E13,11.140442,5.039978,453.47137,1.0238647,68.74237,496.78802
1.540085451074E13,11.062622,3.9215088,455.46875,1.0238647,68.74237,496.78802
1.5400874652341E13,11.062622,3.4576416,456.52924,1.0238647,68.74237,496.78802
